Probe_ID	Gene_Symbol
1190746	ACSL6
5570477	ACSL6
5890040	ACSL6
6770255	ACSL6
5870669	ACSM1
6550452	ACSM2A
630228	ACSM2B
3390280	ACSM2B
4760202	ACSM2B
3840632	ACSM3
4180292	ACSM3
6580735	ACSM3
6980181	ACSM4
520364	ACSM5
4850092	ACSM5
4880736	ACSM5
5220377	ACSS1
1980709	ACSS2
3310019	ACSS2
4490524	ACSS2
4670544	ACSS2
5570059	ACSS2
2810154	ACSS3
5080132	ACTA1
6480059	ACTA2
4610390	ACTB
5270730	ACTB
5570132	ACTB
6100600	ACTBL2
4260201	ACTC1
6940739	ACTC1
3310424	ACTG1
6510072	ACTG1
4610431	ACTG2
5080603	ACTL6A
5220358	ACTL6A
5390008	ACTL6B
6960669	ACTL7A
7550092	ACTL7B
1450100	ACTL8
5080364	ACTN1
3400110	ACTN2
830348	ACTN3
270437	ACTN4
2630064	ACTR10
4280561	ACTR1A
2120088	ACTR1B
5570196	ACTR2
6940176	ACTR3
2750403	ACTR3B
4010066	ACTR3B
5490278	ACTR3B
6180603	ACTR3B
2690670	ACTR5
1580168	ACTR6
270278	ACTR8
2710368	ACTRT1
7100201	ACTRT2
6940360	ACVR1
1410132	ACVR1B
2060615	ACVR1B
4570240	ACVR1B
6510717	ACVR1B
450064	ACVR1C
4260681	ACVR2A
4590349	ACVR2A
610564	ACVR2B
1450253	ACVR2B
4610746	ACVRL1
5910451	ACVRL1
1400341	ACY1
1170228	ACY3
3440689	ACYP1
5910148	ACYP1
5960142	ACYP1
130367	ACYP2
5290672	ACYP2
7210192	ADA
3140326	ADAD1
3400424	ADAD2
5910554	ADAL
3130364	ADAM10
5290300	ADAM10
1260661	ADAM11
520689	ADAM12
6180392	ADAM12
6420692	ADAM12
1980553	ADAM15
3440452	ADAM15
3990626	ADAM15
6480131	ADAM15
5260546	ADAM17
5420762	ADAM17
6560010	ADAM18
4920692	ADAM19
5220341	ADAM19
6900209	ADAM19
6110315	ADAM2
2320270	ADAM20
2690368	ADAM21
5310202	ADAM21P
1470039	ADAM22
2490255	ADAM22
7400600	ADAM22
110731	ADAM23
290451	ADAM28
6180491	ADAM28
7330333	ADAM28
1770672	ADAM29
830601	ADAM30
5050328	ADAM32
5860541	ADAM32
6450164	ADAM32
7550491	ADAM32
1440224	ADAM33
3420025	ADAM33
1170390	ADAM3A
1430241	ADAM3A
4150292	ADAM3A
1770082	ADAM5
3850379	ADAM5
540195	ADAM5P
6480634	ADAM6
7040601	ADAM6
1260424	ADAM7
780725	ADAM8
2940730	ADAM9
1690192	ADAMDEC1
2470184	ADAMDEC1
6900086	ADAMTS1
840370	ADAMTS10
4060682	ADAMTS12
1030253	ADAMTS13
1240470	ADAMTS13
4200735	ADAMTS13
2000538	ADAMTS14
4230341	ADAMTS14
7610372	ADAMTS14
6520458	ADAMTS15
7320519	ADAMTS16
4040494	ADAMTS17
2030487	ADAMTS18
3290133	ADAMTS18
70487	ADAMTS19
